"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL"
"SGO1",0.0161634453680799,4.13978120935232,0.104470077171184,0.917141809786377,0.992747179524236,-5.60673225981929,"SGO1"
"TNFSF10",0.0808356369471088,5.41564254904596,0.104463743618491,0.917146814561516,0.992747179524236,-5.60673284419972,"TNFSF10"
"PAGE1",-0.0127495597355392,3.18664232034399,-0.104452359443829,0.91715581034803,0.992747179524236,-5.60673389449888,"PAGE1"
"MNT",-0.00908362210021751,3.57026802821822,-0.104447540658332,0.917159618160555,0.992747179524236,-5.60673433904353,"MNT"
"ACOT7",-0.028214139112281,7.2087976987369,-0.104371753023284,0.917219505935305,0.992747179524236,-5.60674132794002,"ACOT7"
"NXT2",0.0358553884936565,4.62031803950551,0.104361867720012,0.91722731738774,0.992747179524236,-5.60674223915764,"NXT2"
"C1orf109",-0.0187360426074878,5.37934425423273,-0.104291010268069,0.917283309800918,0.992747179524236,-5.60674876820296,"C1orf109"
"PRKACA",-0.00619605772502485,3.33204034318732,-0.104210248962408,0.917347128871557,0.992747179524236,-5.60675620441756,"PRKACA"
"USP9Y",-0.0433214438601923,3.49780774630476,-0.104152851904323,0.917392485415469,0.992747179524236,-5.60676148583459,"USP9Y"
"TTTY15",-0.0433214438601923,3.49780774630476,-0.104152851904323,0.917392485415469,0.992747179524236,-5.60676148583459,"TTTY15"
"CUL7",-0.012457428162699,3.96311539250202,-0.104121413767595,0.917417328708517,0.992747179524236,-5.60676437739656,"CUL7"
"NOSIP",-0.0216944881302279,8.31514446304757,-0.10409391832348,0.917439056443578,0.992747179524236,-5.60676690560913,"NOSIP"
"ZNF337",-0.021598576902262,5.67173619591508,-0.104014484982449,0.917501827437288,0.992747179524236,-5.60677420577418,"ZNF337"
"ZNF649",-0.020294185624806,3.36477906906745,-0.103931331358037,0.917567538893258,0.992747179524236,-5.60678184187653,"ZNF649"
