"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL"
"CACNA2D4",-5.45043478260868,195.449484536082,-0.17827634308109,0.858580635631237,1,-4.62882416142795,"CACNA2D4"
"SPTLC1",56.7256521739141,2780.47835051546,0.17826290840545,0.858591180171865,1,-4.62882432264759,"SPTLC1"
"TMEM253",-0.381304347826086,6.12164948453608,-0.178135506305915,0.858691176148292,1,-4.62882585090272,"TMEM253"
"AC002996.1",0.088695652173913,0.595876288659794,0.178107817224515,0.858712909189366,1,-4.62882618290328,"AC002996.1"
"PLIN4",-17.3226086956523,154.389690721649,-0.178043470231875,0.858763415282291,1,-4.6288269542442,"PLIN4"
"NAF1",9.07043478260891,494.637113402062,0.17800812453957,0.858791158438926,1,-4.62882737782186,"NAF1"
"UBALD1",-29.3386956521722,1269.14639175258,-0.177800239869927,0.858954332552719,1,-4.62882986738015,"UBALD1"
"POM121",-48.7956521739111,2112.48041237113,-0.177716835168632,0.859019800783071,1,-4.62883086538989,"POM121"
"OR52B4",0.0808695652173914,0.0432989690721649,0.177625046890704,0.859091850796608,1,-4.62883196317529,"OR52B4"
"GNAS",1541.1743478261,59294.387628866,0.177569033754311,0.859135819377478,1,-4.62883263281236,"GNAS"
"B4GALT6",-19.084347826087,281.020618556701,-0.177494032463347,0.859194693758994,1,-4.62883352912222,"B4GALT6"
"TINAGL1",-106.822608695649,2599.07628865979,-0.177432655274962,0.859242874100736,1,-4.6288342623343,"TINAGL1"
"GLIPR1L1",-0.491739130434755,16.7463917525773,-0.177381239868884,0.859283234969967,1,-4.62883487634773,"GLIPR1L1"
"ELP6",-18.9939130434771,954.894845360825,-0.177374383384937,0.859288617307797,1,-4.62883495821585,"ELP6"
"OPA3",-36.0352173913047,1510.05773195876,-0.177263440438732,0.859375708398604,1,-4.62883628246222,"OPA3"
"AC120057.2",0.0808695652173914,0.0432989690721649,0.177252448460309,0.859384337282119,1,-4.6288364136205,"AC120057.2"
"NT5M",5.87478260869554,143.468041237113,0.177203692648267,0.859422611598046,1,-4.62883699528561,"NT5M"
"SMCR8",-47.4521739130432,2139.00618556701,-0.177181904952235,0.859439715494981,1,-4.6288372551648,"SMCR8"
"WNT8A",0.149130434782609,0.418556701030928,0.177128421030217,0.85948170201804,1,-4.62883789297462,"WNT8A"
"CNOT11",-76.2934782608677,4113.16082474227,-0.177107568965994,0.85949807163751,1,-4.62883814158881,"CNOT11"
"TAS2R39",-0.0826086956521739,0.0783505154639175,-0.177067867405528,0.859529238956103,1,-4.62883861486014,"TAS2R39"
"NOX5",-25.8634782608695,108.410309278351,-0.177004712172653,0.859578818801344,1,-4.62883936749766,"NOX5"
"ZNRF2",-28.1600000000003,1314.14845360825,-0.176987298766403,0.859592489246638,1,-4.62883957497061,"ZNRF2"
"AL117348.2",0.0843478260869572,0.4,0.176958684203295,0.859614953284429,1,-4.62883991585593,"AL117348.2"
"C2orf69",-18.6308695652173,960.550515463918,-0.176932913687192,0.85963518468327,1,-4.62884022281303,"C2orf69"
"EOGT",-24.4026086956519,1263.62474226804,-0.176830238978163,0.859715791397898,1,-4.6288414453455,"EOGT"
"ETF1",103.257391304352,5966.90515463918,0.176674055446191,0.859838409033695,1,-4.62884330363912,"ETF1"
"ZNF761",-22.4513043478256,889.134020618557,-0.176551955991987,0.859934270069901,1,-4.62884475525221,"ZNF761"
"SERPINH1",-396.708695652171,15658.0597938144,-0.176359288648556,0.860085538603134,1,-4.62884704379056,"SERPINH1"
"KRTAP5-11",-0.0826086956521733,0.278350515463918,-0.176348399442478,0.860094088177952,1,-4.62884717305991,"KRTAP5-11"
"FOXP3",9.03043478260878,314.035051546392,0.176309443151252,0.860124674539412,1,-4.6288476354578,"FOXP3"
"SRI",159.524782608691,6459.7381443299,0.176302429897695,0.860130180987091,1,-4.62884771869188,"SRI"
"ENTPD2",-14.6121739130434,234.298969072165,-0.176249803555594,0.860171500714569,1,-4.62884834316153,"ENTPD2"
"GPATCH3",-14.129130434782,764.360824742268,-0.176239392814519,0.860179674784085,1,-4.62884846667438,"GPATCH3"
"TRNT1",-14.8591304347837,830.973195876289,-0.176212304346134,0.860200943563625,1,-4.62884878801736,"TRNT1"
"PRSS35",2.82956521739135,35.6762886597938,0.17614539992768,0.860253474667012,1,-4.6288495814742,"PRSS35"
"ZNF558",20.373478260871,905.156701030928,0.176105139908093,0.860285085781828,1,-4.62885005879506,"ZNF558"
"TIMM17B",92.2595652173964,2622.73608247423,0.176029494983018,0.860344480806664,1,-4.62885095534271,"TIMM17B"
"TRPV2",-38.1339130434778,1326.60824742268,-0.175929670326191,0.860422862531731,1,-4.62885213788034,"TRPV2"
"NT5DC4",2.65304347826091,21.7237113402062,0.175888855627231,0.860454910387197,1,-4.62885262118413,"NT5DC4"
"RNF122",-13.0586956521734,521.385567010309,-0.175856978096026,0.860479940905195,1,-4.62885299858125,"RNF122"
"KLHL4",6.27478260869566,84.0886597938144,0.175840315383863,0.860493024669359,1,-4.62885319582337,"KLHL4"
"TSPY8",-0.0891304347826087,0.0845360824742268,-0.175772068759719,0.860546613149145,1,-4.62885400348662,"TSPY8"
"LINS1",-11.0526086956513,623.962886597938,-0.175770543117011,0.860547811118669,1,-4.62885402153824,"LINS1"
"HNRNPH1",-292.942173913034,14942.6020618557,-0.175593352475783,0.860686947448939,1,-4.62885611701557,"HNRNPH1"
"AGRN",-687.970869565219,25041.5484536082,-0.175586572002283,0.860692271801666,1,-4.6288561971603,"AGRN"
"ACOT1",-5.24347826086952,184.773195876289,-0.175440067270064,0.860807315889111,1,-4.62885792807982,"ACOT1"
"CLDN6",-188.020434782607,1269.68865979381,-0.175184757539229,0.861007807106775,1,-4.6288609410533,"CLDN6"
"SLC22A5",17.3130434782622,809.379381443299,0.175080643781028,0.861089568788059,1,-4.62886216846639,"SLC22A5"
"PAQR9",-20.648695652174,29.1443298969072,-0.174921008326994,0.861214935168745,1,-4.62886404901652,"PAQR9"
"DLG1",-63.7143478260873,2984.07010309278,-0.174828997736053,0.861287195364708,1,-4.62886513214782,"DLG1"
"FAM151B",1.32217391304349,60.8659793814433,0.174795523669379,0.861313484394936,1,-4.62886552605686,"FAM151B"
"TENM3",-26.1930434782605,384.562886597938,-0.174693683343424,0.861393466165753,1,-4.62886672400819,"TENM3"
"C1orf112",13.7295652173917,508.738144329897,0.174657572742825,0.861421826489917,1,-4.62886714861083,"C1orf112"
"MESP1",-12.4095652173914,251.729896907216,-0.174533864962026,0.861518984713899,1,-4.62886860255022,"MESP1"
"CABP2",0.0843478260869566,0.2,0.174457937069162,0.861578618376096,1,-4.62886949442185,"CABP2"
"PSKH1",-38.1886956521732,1973.74020618557,-0.174330277496052,0.861678883812482,1,-4.62887099307462,"PSKH1"
"TET3",47.3443478260886,1958.73608247423,0.174202781664385,0.861779022875877,1,-4.62887248871054,"TET3"
"OR1I1",0.0795652173913043,0.0845360824742268,0.174194779183661,0.861785308339433,1,-4.62887258255008,"OR1I1"
"DCAF8",85.2791304347825,3818.75670103093,0.174137350679162,0.861830415206362,1,-4.62887325584758,"DCAF8"
"WNT2",-22.5360869565211,481.814432989691,-0.17406652062779,0.86188604885866,1,-4.62887408596049,"WNT2"
"SPATA9",-0.59173913043475,21.4412371134021,-0.174000442668393,0.861937950587352,1,-4.62887486007546,"SPATA9"
"DACH1",-11.2195652173913,198.441237113402,-0.173975912337886,0.861957218382963,1,-4.62887514737785,"DACH1"
"MRM2",36.036521739135,1896.70103092784,0.173919160374,0.862001795564136,1,-4.62887581190888,"MRM2"
"GPR32",-0.106086956521739,0.220618556701031,-0.173875088491435,0.862036413177679,1,-4.62887632781436,"GPR32"
"TPRA1",-37.7756521739113,2033.14845360825,-0.17378545355402,0.86210682051182,1,-4.62887737667769,"TPRA1"
"OVOL1",10.9247826086957,298.278350515464,0.173771243441418,0.862117982512065,1,-4.62887754290772,"OVOL1"
"DENND2A",-18.2382608695652,474.938144329897,-0.173706262403471,0.862169025271682,1,-4.62887830288316,"DENND2A"
"YTHDC2",29.3456521739124,1528.96701030928,0.173655425277991,0.862208958356978,1,-4.62887889724263,"YTHDC2"
"TRIM65",-38.0878260869574,1753.68453608247,-0.173653352375452,0.862210586650753,1,-4.62887892147414,"TRIM65"
"UBE2E3",-72.2791304347811,2570.51340206186,-0.173651966704368,0.862211675114989,1,-4.62887893767199,"UBE2E3"
"SCNN1D",12.8839130434783,242.140206185567,0.173651719124803,0.862211869592267,1,-4.62887894056606,"SCNN1D"
"ZNF22",-22.8291304347813,1211.01237113402,-0.173635918710645,0.862224281060176,1,-4.62887912525636,"ZNF22"
"FCRL5",-33.1126086956514,758.325773195876,-0.173606258751363,0.862247579505704,1,-4.6288794719049,"FCRL5"
"NHEJ1",0.896521739130478,41.5896907216495,0.173411965528154,0.862400203391085,1,-4.62888174122786,"NHEJ1"
"KRTAP10-1",-0.0817391304347826,0.117525773195876,-0.173362678260953,0.86243892102278,1,-4.6288823164936,"KRTAP10-1"
"SLN",0.807391304347822,14.0742268041237,0.173306832375033,0.862482791180519,1,-4.62888296811199,"SLN"
"VAT1L",-22.9486956521739,102.325773195876,-0.173204781465072,0.862562959143064,1,-4.62888415831539,"VAT1L"
"GZF1",21.54695652174,1109.52371134021,0.173191352606899,0.862573508534436,1,-4.62888431488184,"GZF1"
"PAXBP1",29.5421739130431,1525.0206185567,0.173145470889839,0.862609552304849,1,-4.62888484972311,"PAXBP1"
"PLAAT1",-5.87608695652176,93.7731958762887,-0.173073971242924,0.862665721586717,1,-4.62888568290912,"PLAAT1"
"XAGE1A",-0.312608695652169,4.81649484536082,-0.173011333541174,0.86271492960102,1,-4.62888641254402,"XAGE1A"
"ADGRA2",38.2891304347827,1483.68453608247,0.172988169926048,0.862733127011691,1,-4.62888668229843,"ADGRA2"
"CCDC130",22.9113043478267,1085.38969072165,0.172919217824331,0.862787296437371,1,-4.6288874850738,"CCDC130"
"SH2D7",-1.72217391304346,9.51340206185567,-0.172870098804709,0.86282588520021,1,-4.62888805674726,"SH2D7"
"WNK4",-6.48521739130437,91.4309278350515,-0.172819902817111,0.862865320387171,1,-4.62888864078722,"WNK4"
"MOB3A",58.8286956521802,2964.52371134021,0.172812272518765,0.862871314964883,1,-4.62888872955235,"MOB3A"
"LCE1B",-0.0817391304347825,0.117525773195876,-0.172753628483586,0.862917387638232,1,-4.62888941164212,"LCE1B"
"GGT5",75.0091304347848,2322.77731958763,0.172709748076919,0.862951861827748,1,-4.62888992186455,"GGT5"
"ATP8A1",-137.72260869565,2908.18350515464,-0.172588785904807,0.863046895867633,1,-4.6288913276893,"ATP8A1"
"RNF225",-1.64695652173911,25.2020618556701,-0.17257722256796,0.863055980717808,1,-4.62889146202705,"RNF225"
"SNCB",-1.02782608695651,7.09484536082474,-0.172546432905145,0.863080171010072,1,-4.62889181968396,"SNCB"
"AL391987.1",0.0843478260869572,0.4,0.17244885376922,0.863156836156488,1,-4.62889295275494,"AL391987.1"
"CPA1",-4.2717391304348,10.2515463917526,-0.17240941575517,0.863187821847119,1,-4.62889341052002,"CPA1"
"ZDHHC22",-3.34086956521739,11.6886597938144,-0.172408618099969,0.863188448551679,1,-4.62889341977754,"ZDHHC22"
"PEX5",52.5178260869575,2306.10927835052,0.172314117769272,0.863262696516716,1,-4.62889451623126,"PEX5"
"SLC22A24",-0.0795652173913043,0.115463917525773,-0.172260853049297,0.863304546608574,1,-4.62889513397803,"SLC22A24"
"GNAI3",96.2173913043634,5125.74226804124,0.172253672622142,0.863310188299808,1,-4.62889521723967,"GNAI3"
"AGR2",1560.10217391308,31407.1154639175,0.172179570979422,0.863368410674506,1,-4.62889607629285,"AGR2"
"ARIH1",75.2808695652202,4108.11958762887,0.172132505083654,0.863405391188866,1,-4.62889662173131,"ARIH1"
"GMFG",28.9426086956528,1135.50927835052,0.172098439376562,0.863432157410229,1,-4.6288970164199,"GMFG"
"GHRHR",0.414347826086968,3.56701030927835,0.172096442734497,0.863433726223391,1,-4.62889703955072,"GHRHR"
"NKIRAS1",9.10521739130394,465.20412371134,0.172080824108749,0.863445998199073,1,-4.62889722048143,"NKIRAS1"
"SEBOX",0.0843478260869573,0.4,0.172072792349638,0.863452308981792,1,-4.62889731351723,"SEBOX"
"EMILIN2",-57.4847826086948,1687.92164948454,-0.172048630411868,0.86347129375965,1,-4.62889759337072,"EMILIN2"
"SLC6A16",4.30304347826106,115.358762886598,0.172040993132104,0.863477294621773,1,-4.62889768182063,"SLC6A16"
"SRSF2",111.484782608705,6870.2618556701,0.171877819672864,0.86360550726729,1,-4.62889957065016,"SRSF2"
"PPIL3",18.0343478260871,891.375257731959,0.171861449834753,0.863618369976209,1,-4.62889976004179,"PPIL3"
"SESN2",-32.9099999999989,1279.85360824742,-0.171852394058444,0.863625485628113,1,-4.62889986480535,"SESN2"
"NUP93",44.1217391304385,2439.35257731959,0.171839276133361,0.863635793167037,1,-4.62890001655282,"NUP93"
"RHOD",44.2878260869575,1379.03505154639,0.171683544875733,0.863758162315923,1,-4.62890181715927,"RHOD"
"IL23A",-11.5747826086957,154.538144329897,-0.171666853656983,0.86377127799073,1,-4.62890201005079,"IL23A"
"CD151",-455.056521739123,19674.8,-0.171659175690246,0.863777311218589,1,-4.62890209877462,"CD151"
"CENPM",16.4678260869566,458.901030927835,0.171644724263873,0.863788666948187,1,-4.62890226575948,"CENPM"
"GPER1",11.4104347826089,171.657731958763,0.171636897459541,0.863794817153821,1,-4.62890235619149,"GPER1"
"ARHGAP44",38.4704347826075,1227.55257731959,0.171537651577195,0.863872804053429,1,-4.62890350253587,"ARHGAP44"
"RBMX2",-22.4160869565194,1155.0206185567,-0.171487427032486,0.86391227074719,1,-4.62890408240427,"RBMX2"
"GRB10",98.7204347826123,3206.60824742268,0.17143945695389,0.863949966188431,1,-4.6289046360852,"GRB10"
"LCN8",-0.454347826086948,4.63092783505155,-0.171432439908745,0.863955480289514,1,-4.62890471706447,"LCN8"
"FAM229A",4.29478260869578,136.086597938144,0.171290020709726,0.864067396903994,1,-4.62890635991769,"FAM229A"
